"","hour","day","month","year","mw"
"35219",10,7,1,2020,5752.784
"35220",11,7,1,2020,5684.104
"35221",12,7,1,2020,5603.932
"35222",13,7,1,2020,5412.105
"35223",14,7,1,2020,5229.246
"35224",15,7,1,2020,5116.038
"35225",16,7,1,2020,5199.559
"35226",17,7,1,2020,5480.093
"35227",18,7,1,2020,5705.036
"35228",19,7,1,2020,5735.2
"35229",20,7,1,2020,5668.979
"35230",21,7,1,2020,5571.942
"35231",22,7,1,2020,5401.549
"35232",23,7,1,2020,5233.327
"35233",0,8,1,2020,5085.977
"35234",1,8,1,2020,5012.94
"35235",2,8,1,2020,4970.604
"35236",3,8,1,2020,5026.89
"35237",4,8,1,2020,5067.261
"35238",5,8,1,2020,5268.694
"35239",6,8,1,2020,5617.378
"35240",7,8,1,2020,5817.923
"35241",8,8,1,2020,5697.822
"35242",9,8,1,2020,5466.661
"35243",10,8,1,2020,5278.133
"35244",11,8,1,2020,5090.425
"35245",12,8,1,2020,4941.485
"35246",13,8,1,2020,4829.506
"35247",14,8,1,2020,4728.886
"35248",15,8,1,2020,4698.692
"35249",16,8,1,2020,4791.249
"35250",17,8,1,2020,5114.944
"35251",18,8,1,2020,5352.35
"35252",19,8,1,2020,5390.344
"35253",20,8,1,2020,5415.6
"35254",21,8,1,2020,5375.196
"35255",22,8,1,2020,5233.884
"35256",23,8,1,2020,5121.841
"35257",0,9,1,2020,5061.519
"35258",1,9,1,2020,5085.048
"35259",2,9,1,2020,5133.794
"35260",3,9,1,2020,5221.045
"35261",4,9,1,2020,5386.08
"35262",5,9,1,2020,5683.507
"35263",6,9,1,2020,6109.936
"35264",7,9,1,2020,6288.388
"35265",8,9,1,2020,6119.218
"35266",9,9,1,2020,5808.659
"35267",10,9,1,2020,5462.146
"35268",11,9,1,2020,5119.835
"35269",12,9,1,2020,4904.409
"35270",13,9,1,2020,4737.46
"35271",14,9,1,2020,4639.911
"35272",15,9,1,2020,4670.646
"35273",16,9,1,2020,4798.5
"35274",17,9,1,2020,5069.29
"35275",18,9,1,2020,5226.23
"35276",19,9,1,2020,5251.757
"35277",20,9,1,2020,5247.543
"35278",21,9,1,2020,5168.01
"35279",22,9,1,2020,4961.055
"35280",23,9,1,2020,4796.905
"35281",0,10,1,2020,4655.427
"35282",1,10,1,2020,4539.861
"35283",2,10,1,2020,4479.664
"35284",3,10,1,2020,4453.642
"35285",4,10,1,2020,4497.339
"35286",5,10,1,2020,4668.98
"35287",6,10,1,2020,5003.24
"35288",7,10,1,2020,5163.066
"35289",8,10,1,2020,5090.914
"35290",9,10,1,2020,5001.316
"35291",10,10,1,2020,4900.676
"35292",11,10,1,2020,4723.159
"35293",12,10,1,2020,4546.508
"35294",13,10,1,2020,4469.055
"35295",14,10,1,2020,4438.63
"35296",15,10,1,2020,4374.019
"35297",16,10,1,2020,4393.394
"35298",17,10,1,2020,4572.102
"35299",18,10,1,2020,4631.612
"35300",19,10,1,2020,4561.957
"35301",20,10,1,2020,4496.735
"35302",21,10,1,2020,4380.329
"35303",22,10,1,2020,4142.148
"35304",23,10,1,2020,3970.935
"35305",0,11,1,2020,3795.442
"35306",1,11,1,2020,3683.864
"35307",2,11,1,2020,3610.069
"35308",3,11,1,2020,3605.876
"35309",4,11,1,2020,3642.907
"35310",5,11,1,2020,3692.736
"35311",6,11,1,2020,3761.678
"35312",7,11,1,2020,3858.271
"35313",8,11,1,2020,3948.882
"35314",9,11,1,2020,4010.769
"35315",10,11,1,2020,4025.555
"35316",11,11,1,2020,4004.539
"35317",12,11,1,2020,3929.62
"35318",13,11,1,2020,3828.263
"35319",14,11,1,2020,3787.897
"35320",15,11,1,2020,3776.678
"35321",16,11,1,2020,3825.262
"35322",17,11,1,2020,3980.648
"35323",18,11,1,2020,4026.299
"35324",19,11,1,2020,3938.043
"35325",20,11,1,2020,3856.763
"35326",21,11,1,2020,3713.193
"35327",22,11,1,2020,3563.349
"35328",23,11,1,2020,3351.991
"35329",0,12,1,2020,3208.976
"35330",1,12,1,2020,3141.745
"35331",2,12,1,2020,3101.13
"35332",3,12,1,2020,3088.909
"35333",4,12,1,2020,3126.196
"35334",5,12,1,2020,3228.658
"35335",6,12,1,2020,3366.093
"35336",7,12,1,2020,3561.733
"35337",8,12,1,2020,3756.556
"35338",9,12,1,2020,3849.833
"35339",10,12,1,2020,3811.392
"35340",11,12,1,2020,3766.433
"35341",12,12,1,2020,3737.597
"35342",13,12,1,2020,3698.224
"35343",14,12,1,2020,3654.258
"35344",15,12,1,2020,3660.625
"35345",16,12,1,2020,3739.622
"35346",17,12,1,2020,3979.911
"35347",18,12,1,2020,4169.335
"35348",19,12,1,2020,4208.84
"35349",20,12,1,2020,4218.799
"35350",21,12,1,2020,4132.392
"35351",22,12,1,2020,4027.977
"35352",23,12,1,2020,3913.118
"35353",0,13,1,2020,3858.072
"35354",1,13,1,2020,3876.542
"35355",2,13,1,2020,3926.356
"35356",3,13,1,2020,4008.327
"35357",4,13,1,2020,4145.414
"35358",5,13,1,2020,4404.698
"35359",6,13,1,2020,4809.493
"35360",7,13,1,2020,5067.593
"35361",8,13,1,2020,5048.293
"35362",9,13,1,2020,5007.614
"35363",10,13,1,2020,4923.559
"35364",11,13,1,2020,4791.341
"35365",12,13,1,2020,4665.436
"35366",13,13,1,2020,4522.927
"35367",14,13,1,2020,4405.756
"35368",15,13,1,2020,4302.113
"35369",16,13,1,2020,4359.227
"35370",17,13,1,2020,4600.112
"35371",18,13,1,2020,4810.357
"35372",19,13,1,2020,4847.364
"35373",20,13,1,2020,4787.913
"35374",21,13,1,2020,4666.684
"35375",22,13,1,2020,4493.377
"35376",23,13,1,2020,4267.98
"35377",0,14,1,2020,4099.119
"35378",1,14,1,2020,3992.916
"35379",2,14,1,2020,3944.968
"35380",3,14,1,2020,3928.302
"35381",4,14,1,2020,3975.219
"35382",5,14,1,2020,4182.618
"35383",6,14,1,2020,4536.859
"35384",7,14,1,2020,4746.35
"35385",8,14,1,2020,4704.872
"35386",9,14,1,2020,4638.333
"35387",10,14,1,2020,4623.103
"35388",11,14,1,2020,4559.855
"35389",12,14,1,2020,4492.369
"35390",13,14,1,2020,4461.732
"35391",14,14,1,2020,4383.256
"35392",15,14,1,2020,4329.927
"35393",16,14,1,2020,4328.114
"35394",17,14,1,2020,4503.818
"35395",18,14,1,2020,4636.782
"35396",19,14,1,2020,4589.246
"35397",20,14,1,2020,4563.028
"35398",21,14,1,2020,4414.196
"35399",22,14,1,2020,4254.949
"35400",23,14,1,2020,4073.908
"35401",0,15,1,2020,3934.9
"35402",1,15,1,2020,3880.352
"35403",2,15,1,2020,3875.799
"35404",3,15,1,2020,3890.213
"35405",4,15,1,2020,3968.304
"35406",5,15,1,2020,4201.146
"35407",6,15,1,2020,4570.853
"35408",7,15,1,2020,4789.067
"35409",8,15,1,2020,4757.779
"35410",9,15,1,2020,4671.512
"35411",10,15,1,2020,4585.186
"35412",11,15,1,2020,4470.289
"35413",12,15,1,2020,4367.349
"35414",13,15,1,2020,4280.806
"35415",14,15,1,2020,4196.97
"35416",15,15,1,2020,4176.305
"35417",16,15,1,2020,4225.667
"35418",17,15,1,2020,4374.619
"35419",18,15,1,2020,4509.159
"35420",19,15,1,2020,4467.562
"35421",20,15,1,2020,4407.791
"35422",21,15,1,2020,4267.666
"35423",22,15,1,2020,4050.758
"35424",23,15,1,2020,3841.286
"35425",0,16,1,2020,3718.439
"35426",1,16,1,2020,3637.644
"35427",2,16,1,2020,3611.199
"35428",3,16,1,2020,3610.486
"35429",4,16,1,2020,3681.589
"35430",5,16,1,2020,3943.384
"35431",6,16,1,2020,4409.6
"35432",7,16,1,2020,4669.484
"35433",8,16,1,2020,4699.028
"35434",9,16,1,2020,4692.29
"35435",10,16,1,2020,4657.206
"35436",11,16,1,2020,4576.067
"35437",12,16,1,2020,4468.656
"35438",13,16,1,2020,4426.686
"35439",14,16,1,2020,4397.208
"35440",15,16,1,2020,4436.971
"35441",16,16,1,2020,4550.523
"35442",17,16,1,2020,4866.565
"35443",18,16,1,2020,5164.408
"35444",19,16,1,2020,5247.428
"35445",20,16,1,2020,5285.996
"35446",21,16,1,2020,5254.067
"35447",22,16,1,2020,5133.258
"35448",23,16,1,2020,5030.846
"35449",0,17,1,2020,4936.045
"35450",1,17,1,2020,4931.172
"35451",2,17,1,2020,4964.471
"35452",3,17,1,2020,5004.596
"35453",4,17,1,2020,5139.863
"35454",5,17,1,2020,5392.044
"35455",6,17,1,2020,5829.008
"35456",7,17,1,2020,6058.593
"35457",8,17,1,2020,6054.806
"35458",9,17,1,2020,5890.561
"35459",10,17,1,2020,5658.548
"35460",11,17,1,2020,5447.663
"35461",12,17,1,2020,5285.925
"35462",13,17,1,2020,5142.579
"35463",14,17,1,2020,4986.876
"35464",15,17,1,2020,4867.249
"35465",16,17,1,2020,4943.291
"35466",17,17,1,2020,5245.679
"35467",18,17,1,2020,5405.153
"35468",19,17,1,2020,5407.304
"35469",20,17,1,2020,5352.826
"35470",21,17,1,2020,5237.178
"35471",22,17,1,2020,5079.375
"35472",23,17,1,2020,4899.611
"35473",0,18,1,2020,4737.208
"35474",1,18,1,2020,4641.866
"35475",2,18,1,2020,4622.59
"35476",3,18,1,2020,4616.877
"35477",4,18,1,2020,4620.577
"35478",5,18,1,2020,4711.195
"35479",6,18,1,2020,4851.409
"35480",7,18,1,2020,5008.658
"35481",8,18,1,2020,5110.576
"35482",9,18,1,2020,5156.268
"35483",10,18,1,2020,5147.163
"35484",11,18,1,2020,5080.665
"35485",12,18,1,2020,5042.761
"35486",13,18,1,2020,5009.605
"35487",14,18,1,2020,4973.589
