"","valid","actual","time"
"1",3483.067,3510.37693133818,1
"2",3306.806,3380.83483811566,2
"3",3212.913,3284.89122246174,3
"4",3168.902,3219.56139083806,4
"5",3202.344,3216.56920848743,5
"6",3343.844,3306.6377212175,6
"7",3615.679,3495.42543694348,7
"8",3768.064,3551.56074563379,8
"9",3833.536,3566.28461403494,9
"10",3893.227,3595.26999708998,10
"11",3943.9,3681.59913183984,11
"12",4016.201,3805.19845444556,12
"13",4112.376,3978.73567902687,13
"14",4222.036,4169.42098734555,14
"15",4309.832,4337.00006760436,15
"16",4335.69,4450.97738575149,16
"17",4381.259,4577.3603919543,17
"18",4355.77,4604.05034392832,18
"19",4255.51,4548.78691247245,19
"20",4142.036,4458.61846911204,20
"21",4089.072,4392.03742541459,21
"22",3920.116,4179.31574161883,22
"23",3704.21,3927.84121057457,23
"24",3495.355,3676.48247053766,24
"25",3302.473,3499.75352804562,25
"26",3167.853,3370.60208405571,26
"27",3112.225,3274.94751714046,27
"28",3080.258,3209.81412877115,28
"29",3080.438,3206.82968927031,29
"30",3119.366,3296.6241283867,30
"31",3217.758,3484.83870160274,31
"32",3330.002,3540.80253681408,32
"33",3456.195,3555.48034378873,33
"34",3515.898,3584.37644102821,34
"35",3563.536,3670.44249254637,35
"36",3627.57,3793.66570270805,36
"37",3680.296,3966.67534140741,37
"38",3716.278,4156.7809348226,38
"39",3748.93,4323.850201828,39
"40",3790.707,4437.48011229837,40
"41",3827.18,4563.47799233989,41
"42",3823.845,4590.08510787107,42
"43",3798.644,4534.9874363206,43
"44",3828.121,4445.09070206964,44
"45",3766.873,4378.70986553746,45
"46",3692.822,4166.63196439709,46
"47",3507.892,3915.91901710706,47
"48",3333.351,3665.32171566621,48
"49",3185.138,3489.14153010716,49
"50",3114.942,3360.38031431612,50
"51",3071.301,3265.01448427687,51
"52",3026.804,3200.07732676898,52
"53",3005.446,3197.10062025727,53
"54",3025.346,3286.62127823732,54
"55",3104.059,3474.26332212985,55
"56",3183.949,3530.05586607956,56
"57",3301.809,3544.68765930704,57
"58",3424.736,3573.49456473967,58
"59",3452.808,3659.29781331954,59
"60",3498.421,3782.14531239763,60
"61",3571.735,3954.62792878899,61
"62",3612.726,4144.15442656463,62
"63",3623.568,4310.71442450496,63
"64",3671.369,4423.9972973529,64
"65",3700.129,4549.61046157548,65
"66",3734.781,4576.13482716192,66
"67",3775.123,4521.20273580676,67
"68",3886.611,4431.57741758091,68
"69",3877.187,4365.39657175345,69
"70",3715.882,4153.96176213001,70
"71",3511.087,3904.0095816017,71
"72",3337.063,3654.17290216232,72
"73",3251.09,3478.54090081096,73
"74",3171.664,3350.16949353489,74
"75",3133.444,3255.0920895077,75
"76",3115.492,3190.35095114695,76
"77",3131.088,3187.38196779033,77
"78",3297.661,3276.62913616405,78
"79",3600.012,3463.69926193866,79
"80",3743.048,3519.32069625127,80
"81",3764.421,3533.90652325157,81
"82",3829.896,3562.62433057729,82
"83",3888.669,3648.16505560294,83
"84",3915.43,3770.63724365787,84
"85",3943.771,3942.59339949164,85
"86",4013.074,4131.54141888802,86
"87",4017.307,4297.59269018949,87
"88",4023.95,4410.52889426846,88
"89",4091.004,4535.75775168321,89
"90",4110.245,4562.19945353649,90
"91",4148.172,4507.43276323924,91
"92",4207.54,4418.07856889298,92
"93",4163.012,4352.09749800132,93
"94",3999.695,4141.30509098113,94
"95",3792.876,3892.11286285394,95
"96",3595.437,3643.03599145289,96
"97",3412.666,3467.95160348203,97
"98",3280.785,3339.96958638548,98
"99",3226.398,3245.1802985041,99
"100",3188.682,3180.63496825424,100
"101",3222.931,3177.67369824523,101
"102",3394.512,3266.64766759624,102
"103",3696.198,3453.14648447963,103
"104",3852.479,3508.59699018751,104
"105",3890.684,3523.13689832141,105
"106",3934.583,3551.76570093174,106
"107",3960.339,3637.04418087873,107
"108",4001.365,3759.14145667222,108
"109",4051.649,3930.57171187715,109
"110",4127.827,4118.94186815288,110
"111",4157.344,4284.4849534813,111
"112",4196.478,4397.07485644511,112
"113",4237.267,4521.91981473323,113
"114",4246.348,4548.27893877872,114
"115",4249.009,4493.67747097397,115
"116",4282.323,4404.59410929968,116
"117",4218.82,4338.81259826593,117
"118",4052.568,4128.66190715782,118
"119",3804.262,3880.22881970042,119
"120",3543.69,3631.91094500336,120
"121",3380.712,3457.37360148206,121
"122",3262.897,3329.78055757668,122
"123",3223.861,3235.27907697159,123
"124",3174.475,3170.9293444737,124
"125",3194.244,3167.97577803132,125
"126",3341.16,3256.67683799784,126
"127",3624.319,3442.60495323979,127
"128",3761.16,3497.88471078372,128
"129",3831.421,3512.37874725292,129
"130",3881.052,3540.91863823122,130
"131",3951.303,3625.93515066755,131
"132",3993.512,3747.65791166392,132
"133",4030.27,3918.56282434886,133
"134",4071.43,4106.35573076284,134
"135",4126.002,4271.39116902547,135
"136",4139.584,4383.63513732943,136
"137",4153.058,4508.09660284353,137
"138",4144.34,4534.3732347206,138
"139",4111.516,4479.93681141448,139
"140",4147.137,4391.12399214141,140
"141",4111.17,4325.54182657798,141
"142",3951.267,4116.03216691111,142
"143",3724.147,3868.3574110188,143
"144",3499.266,3620.79772431755,144
